Name,vegetables,unknown,dairy,human,animal,insect,freeliving
L_delbrueckii_subsp_bulgaricus_FAM_22166,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_KW14_3,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_L99,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_LBPUFSC001,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_LDB-C1,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_LJJ,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_Lb1-GS-1,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_MBT_92059,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_MN-BM-F01,1,0,0,0,0,0,0
L_delbrueckii_subsp_bulgaricus_NBIMCC_8244_187,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_ND02,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_ND04,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_ST7,0,0,1,0,0,0,0
L_delbrueckii_subsp_bulgaricus_UBLB01,1,0,0,0,0,0,0
L_delbrueckii_subsp_bulgaricus_VHProbi_R03,0,0,0,1,0,0,0
L_delbrueckii_subsp_bulgaricus_YNF-5,0,0,1,0,0,0,0
L_delbrueckii_subsp_delbrueckii_DSM_20074,1,0,0,0,0,0,0
L_delbrueckii_subsp_delbrueckii_KCTC_13731,0,0,0,0,0,0,1
L_delbrueckii_subsp_delbrueckii_NBRC_3202,1,0,0,0,0,0,0
L_delbrueckii_subsp_delbrueckii_TUA4408L,1,0,0,0,0,0,0
L_delbrueckii_subsp_indicus_DSM_15996,0,0,1,0,0,0,0
L_delbrueckii_subsp_indicus_JCM_15610,0,0,0,0,0,0,1
L_delbrueckii_subsp_jakobsenii_DSM_26046,1,0,0,0,0,0,0
L_delbrueckii_subsp_lactis_1,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_11141,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_11143,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_12105,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_12107,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_12109,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIDCA_133,0,0,0,0,1,0,0
L_delbrueckii_subsp_lactis_CIP_110109,0,0,0,1,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_1368,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_1374,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_1375,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_225,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_229,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_230,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_233,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_234,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_265,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_267,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_CIRM_BIA_269,0,0,1,0,0,0,0
L_delbrueckii_subsp_lactis_DSM_20072,0,0,0,1,0,0,0
