"Gene","L_acetotolerans_BM-LA14527","L_acetotolerans_CN247","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"L_delbrueckii_subsp_indicus_DSM_15996_00798","","","24","42","81","859","22.857142857142858","95.338512763596","6.059964726631393","3.910274533989309e-09","9.777641472240268e-05","9.1379826843367e-08"
"L_helveticus_FAM13019_00859","","","24","42","81","859","22.857142857142858","95.338512763596","6.059964726631393","3.910274533989309e-09","9.777641472240268e-05","9.1379826843367e-08"
"L_gasseri_MHKL_MAG_00045_00117/10","","1020_g_1747","11","339","94","562","10.476190476190476","62.375138734739174","0.1939998744743614","3.9662863684192145e-09","9.917699064232246e-05","9.260223215903125e-08"
"L_ultunensis_MGYG_HGUT_01335_00610/4","1020_g_489","1020_g_2253","37","589","68","312","35.23809523809524","34.62819089900111","0.288225307100769","4.15380967444729e-09","0.00010386601090955448","9.688993554995753e-08"
"L_hamsteri_DSM_5661_00151/0.3","","","15","12","90","889","14.285714285714285","98.66814650388457","12.347222222222221","4.400592001068922e-09","0.00011003680298672841","1.0255060856172265e-07"
"L_crispatus_C037_02057","","","0","162","105","739","0.0","82.01997780244173","0.0","4.429336027291232e-09","0.00011075554736241725","1.0312434577506262e-07"
"L_bombicola_OCC3_00814","1020_g_277","1020_g_2066","102","675","3","226","97.14285714285714","25.083240843507216","11.383703703703704","4.5738128996488784e-09","0.0001143681915557202","1.0638901540066996e-07"
"L_amylovorus_GRL1118_00065/5","","","19","24","86","877","18.095238095238095","97.33629300776914","8.073158914728682","4.6721277458248826e-09","0.00011682655428435119","1.084740522603075e-07"
"L_gasseri_1001285H_161024_C10_00404","","","19","24","86","877","18.095238095238095","97.33629300776914","8.073158914728682","4.6721277458248826e-09","0.00011682655428435119","1.084740522603075e-07"
"uncultured_L_sp_Chicken_10_mag_2_00491","","","3","223","102","678","2.857142857142857","75.24972253052165","0.08942231601160644","4.725469620039692e-09","0.0001181603678490925","1.0961073084331401e-07"
"L_helveticus_IMAU30156_00988","","","69","320","36","581","65.71428571428571","64.48390677025527","3.4799479166666667","4.746129402164808e-09","0.00011867696570113101","1.0998792001958388e-07"
"L_delbrueckii_subsp_lactis_NCIMB_702467_00323","","","41","125","64","776","39.04761904761905","86.12652608213097","3.977","4.758291935022219e-09","0.00011898108983523058","1.1016767577336164e-07"
"L_crispatus_C037_00165","","","12","349","93","552","11.428571428571429","61.26526082130965","0.2040854053054811","5.2199370271602235e-09","0.00013052452536414138","1.2074424177996428e-07"
"L_delbrueckii_ME-805_00236/0.1","","","22","35","83","866","20.952380952380953","96.11542730299666","6.558347676419966","5.333939569732514e-09","0.0001333751589411615","1.2326724486244132e-07"
"L_helveticus_IMAU10149_01593","1020_g_1113","1020_g_2204","101","660","4","241","96.19047619047619","26.748057713651498","9.220075757575758","5.372055829333295e-09","0.00013432825601247903","1.240334773891773e-07"
"L_crispatus_MHKL_MAG_00244_00646","","","18","412","87","489","17.142857142857142","54.27302996670367","0.24556411114830934","5.429777600916903e-09","0.00013577158891092716","1.2514939994356391e-07"
"L_helveticus_M92_00535","1020_g_534","1020_g_2838","101","662","4","239","96.19047619047619","26.526082130965595","9.115936555891238","5.4303978779750795e-09","0.00013578709893876685","1.2514939994356391e-07"
